WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
AMR,YR,NH,FLU_CNT_AMC,MEX,Mexico,1/06/2020,2020,23,31/05/2020,2020,23,NONSENTINEL,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,MX,202023,202023
WPR,YR,NH,FLU_SE_ASIA,PHL,Philippines,29/07/2002,2002,31,28/07/2002,2002,31,NOTDEFINED,21.0,,,0.0,1.0,,,10.0,,,,11.0,,,,,,0.0,0.0,11.0,,3.0,,,,,,,,,Adenovirus,,,PH,200231,200231
EUR,NH,NH,FLU_EST_EUR,ROU,Romania,26/10/2015,2015,44,25/10/2015,2015,43,NONSENTINEL,5.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,RO,201544,201543
AFR,YR,NH,FLU_WST_AFR,SEN,Senegal,16/12/2013,2013,51,15/12/2013,2013,51,NOTDEFINED,19.0,19.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,1.0,,,0.0,,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,9adeno 7entero 16rhino 6boca 1coronaoc43 2vrsa,,,SN,201351,201351
EUR,NH,NH,FLU_NTH_EUR,SWE,Sweden,9/10/2017,2017,41,8/10/2017,2017,41,SENTINEL,18.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,SE,201741,201741
AFR,YR,NH,FLU_EST_AFR,UGA,Uganda,22/08/2022,2022,34,21/08/2022,2022,34,SENTINEL,226.0,226.0,1.0,,0.0,0.0,0.0,0.0,,0.0,,1.0,,,0.0,,,0.0,0.0,1.0,225.0,,,,,,,,0.0,,,,,UG,202234,202234
EUR,NH,NH,FLU_NTH_EUR,FIN,Finland,29/05/2023,2023,22,28/05/2023,2023,22,NONSENTINEL,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,FI,202322,202322
EUR,NH,NH,FLU_CNT_ASIA,KGZ,Kyrgyzstan,28/11/2022,2022,48,27/11/2022,2022,48,SENTINEL,55.0,,12.0,,,,,,,,,12.0,,,,,,13.0,13.0,25.0,,,,,,,,,,,,,,KG,202248,202248
EUR,NH,NH,FLU_NTH_EUR,LVA,Latvia,10/06/2013,2013,24,9/06/2013,2013,24,NOTDEFINED,45.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,1.0,,,,,,,0.0,,RSV,,,LV,201324,201324
EUR,NH,NH,FLU_EST_EUR,ROU,Romania,16/11/2015,2015,47,15/11/2015,2015,46,SENTINEL,5.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,RO,201547,201546
AMR,YR,NH,FLU_TRP_SAMR,SUR,Suriname,3/01/2022,2022,1,2/01/2022,2022,1,NONSENTINEL,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SR,202201,202201
EUR,NH,NH,FLU_EST_EUR,BLR,Belarus,15/05/2023,2023,20,14/05/2023,2023,20,NONSENTINEL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY,202320,202320
EUR,NH,NH,FLU_EST_EUR,UKR,Ukraine,3/06/2013,2013,23,2/06/2013,2013,23,NOTDEFINED,15.0,,0.0,0.0,0.0,,,4.0,,,,4.0,,,0.0,,0.0,0.0,0.0,4.0,,,,,,,,,0.0,,,,,UA,201323,201323
EUR,NH,NH,FLU_NTH_EUR,ISL,Iceland,17/04/2023,2023,16,16/04/2023,2023,16,SENTINEL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS,202316,202316
