WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW
WPR,YR,NH,FLU_SE_ASIA,LAO,Lao People's Democratic Republic,27/06/2016,2016,26,26/06/2016,2016,26,NOTDEFINED,72.0,72.0,1.0,,1.0,0.0,0.0,0.0,,,,2.0,,,1.0,,0.0,1.0,2.0,4.0,68.0,,,,,,,,,,,,,LA,201626,201626
EUR,NH,NH,FLU_SW_EUR,BIH,Bosnia and Herzegovina,23/12/2013,2013,52,22/12/2013,2013,52,NOTDEFINED,3.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,2.0,,,,,,,,,RSV,,,BA,201352,201352
AMR,YR,SH,FLU_TRP_SAMR,BOL,Bolivia (Plurinational State of),11/01/2016,2016,2,10/01/2016,2016,2,NOTDEFINED,52.0,,3.0,0.0,9.0,,,0.0,0.0,,,12.0,,,0.0,,0.0,0.0,0.0,12.0,37.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,BO,201602,201602
EUR,NH,NH,FLU_WST_ASIA,GEO,Georgia,25/01/2021,2021,4,24/01/2021,2021,4,NONSENTINEL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GE,202104,202104
EUR,NH,NH,FLU_SW_EUR,ITA,Italy,10/11/1997,1997,46,9/11/1997,1997,46,NOTDEFINED,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,IT,199746,199746
EUR,NH,NH,FLU_NTH_EUR,LVA,Latvia,22/05/2017,2017,21,21/05/2017,2017,21,SENTINEL,0.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,LV,201721,201721
AFR,YR,SH,FLU_EST_AFR,MDG,Madagascar,22/03/2004,2004,13,21/03/2004,2004,12,NOTDEFINED,14.0,,,0.0,1.0,,,0.0,,,,1.0,,,,,,0.0,0.0,1.0,,4.0,,,,,,,,,,,17% of ILI in a health center of Antananarivo city,MG,200413,200412
AFR,YR,NH,FLU_WST_AFR,SLE,Sierra Leone,21/02/2022,2022,8,20/02/2022,2022,8,SENTINEL,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,SL,202208,202208
EMR,YR,NH,FLU_STH_ASIA,AFG,Afghanistan,22/06/2020,2020,26,21/06/2020,2020,26,NOTDEFINED,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,AF,202026,202026
SEAR,YR,NH,FLU_STH_ASIA,BGD,Bangladesh,31/12/2012,2013,1,30/12/2012,2013,1,NOTDEFINED,82.0,82.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,0.0,,0.0,0.0,0.0,2.0,,2.0,,,,,,,,,,,,BD,201301,201301
WPR,YR,NH,FLU_EST_ASIA,CHN,China,20/08/2012,2012,34,19/08/2012,2012,34,NOTDEFINED,2153.0,2872.0,0.0,0.0,317.0,0.0,,21.0,,0.0,,338.0,,,1.0,,0.0,13.0,14.0,352.0,,4.0,,,,,,,,,,,"ILI% in south of China in this week????3.20%                                           
ILI% in north of China in this week????3.56%",CN,201234,201234
SEAR,YR,NH,FLU_STH_ASIA,IND,India,5/12/2011,2011,49,4/12/2011,2011,49,NOTDEFINED,208.0,208.0,0.0,0.0,14.0,0.0,,0.0,,0.0,,14.0,,,0.0,,0.0,14.0,14.0,28.0,,3.0,,,,,,,,,,,,IN,201149,201149
SEAR,YR,NH,FLU_STH_ASIA,LKA,Sri Lanka,28/09/2015,2015,40,27/09/2015,2015,39,NOTDEFINED,43.0,43.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,LK,201540,201539
SEAR,YR,NH,FLU_STH_ASIA,LKA,Sri Lanka,12/09/2011,2011,37,11/09/2011,2011,37,NOTDEFINED,85.0,85.0,1.0,0.0,1.0,0.0,,3.0,,0.0,,5.0,,,0.0,,0.0,2.0,2.0,7.0,,3.0,,,,,,,,,RSV,,,LK,201137,201137
AMR,YR,NH,FLU_CNT_AMC,MEX,Mexico,28/03/2022,2022,13,27/03/2022,2022,13,NONSENTINEL,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,MX,202213,202213
AMR,SH,SH,FLU_TEMP_SAMR,URY,Uruguay,5/11/2018,2018,45,4/11/2018,2018,45,NOTDEFINED,7.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,UY,201845,201845
AFR,YR,NH,FLU_WST_AFR,BFA,Burkina Faso,4/11/2013,2013,45,3/11/2013,2013,45,NOTDEFINED,14.0,14.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,,0.0,0.0,0.0,2.0,,1.0,,,,,,,,,,,,BF,201345,201345
WPR,YR,NH,FLU_EST_ASIA,CHN,China,23/11/2015,2015,48,22/11/2015,2015,47,NOTDEFINED,8508.0,10194.0,21.0,0.0,133.0,0.0,0.0,0.0,,0.0,,154.0,,,16.0,,80.0,26.0,122.0,276.0,8232.0,3.0,,,,,,,,,,,ILI% in south of China in this week???2.56%???ILI% in north of China in this week???2.59%                                    ,CN,201548,201547
EUR,NH,NH,FLU_CNT_ASIA,KAZ,Kazakhstan,22/06/2015,2015,26,21/06/2015,2015,25,NONSENTINEL,9.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,KZ,201526,201525
EMR,YR,NH,FLU_STH_ASIA,PAK,Pakistan,16/06/2014,2014,25,15/06/2014,2014,25,NOTDEFINED,22.0,22.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,PK,201425,201425
AMR,YR,NH,FLU_CNT_AMC,DOM,Dominican Republic,21/03/2016,2016,12,20/03/2016,2016,12,NOTDEFINED,114.0,,27.0,0.0,2.0,,,0.0,0.0,,,29.0,,,4.0,,9.0,0.0,13.0,42.0,71.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,DO,201612,201612
WPR,NH,NH,FLU_EST_ASIA,JPN,Japan,20/07/2020,2020,30,19/07/2020,2020,30,SENTINEL,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,,,0.0,,0.0,0.0,0.0,,2266.0,2.0,8.0,1.0,1.0,1.0,0.0,16.0,0.0,,,,,JP,202030,202030
WPR,YR,NH,FLU_EST_ASIA,CHN,China,23/03/2015,2015,13,22/03/2015,2015,12,NOTDEFINED,8803.0,10573.0,3.0,0.0,181.0,0.0,,1.0,,0.0,,185.0,,,22.0,,774.0,251.0,1047.0,1232.0,,4.0,,,,,,,,,,,"ILI% in south of China in this week????2.80%                                       
ILI% in north of China in this week????2.61%",CN,201513,201512
EMR,NH,NH,FLU_NRT_AFR,MAR,Morocco,22/12/2008,2008,52,21/12/2008,2008,52,NOTDEFINED,148.0,,,3.0,1.0,,,,,,,4.0,,,,,,0.0,0.0,4.0,,1.0,,,,,,,,,,,,MA,200852,200852
SEAR,NH,NH,FLU_EST_ASIA,PRK,Democratic People's Republic of Korea,1/05/2023,2023,18,30/04/2023,2023,18,NOTDEFINED,37.0,37.0,8.0,,0.0,0.0,0.0,,,,,8.0,,,,,,0.0,0.0,8.0,29.0,,,,,,,,,,,,,KP,202318,202318
SEAR,YR,SH,FLU_SE_ASIA,IDN,Indonesia,9/09/2013,2013,37,8/09/2013,2013,37,NOTDEFINED,95.0,95.0,1.0,0.0,1.0,0.0,,0.0,,0.0,,2.0,,,0.0,,0.0,2.0,2.0,4.0,,3.0,,,,,,,,,,,,ID,201337,201337
AMR,SH,SH,FLU_TEMP_SAMR,ARG,Argentina,31/01/2000,2000,5,30/01/2000,2000,5,NOTDEFINED,1.0,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,no activity,AR,200005,200005
SEAR,YR,NH,FLU_STH_ASIA,IND,India,9/10/2000,2000,41,8/10/2000,2000,41,NOTDEFINED,2.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,3.0,,,,,,,,,,,sporadic activity,IN,200041,200041
EUR,NH,NH,FLU_SW_EUR,PRT,Portugal,18/04/2016,2016,16,17/04/2016,2016,16,NONSENTINEL,177.0,,4.0,0.0,1.0,,,2.0,,,,7.0,,,3.0,,1.0,22.0,26.0,33.0,,,,,,,,,1.0,,,,,PT,201616,201616
